codigo_apa,descricao,data_inici,latitude,longitude,morada,codigo_pos,localidade,geometry
ELE04250,REE EElec - EB José Afonso - BP1,2021-05-22,38.72702,-9.1358,"Ed Portugal - Rua Regueirão dos Anjos, 92",1150-131,LISBOA,POINT (-9.135800000000017 38.72701999999998)
ELE04261,REE Electrão - Cristina Vazquez,2021-05-22,38.73365,-9.14846,Rua Pinheiro Chagas nº 32,1050-025,LISBOA,POINT (-9.14846 38.73365000000001)
ELE04272,REE EElec - ES Dona Luísa de Gusmão,2021-05-22,38.726705,-9.130665,Rua da Penha de França,1199-011,LISBOA,POINT (-9.130665000000022 38.72670499999998)
ELE04306,REE Canon - Junta de Freguesia de Belém,2021-05-22,38.70583,-9.20685,"Rua João de Paiva, 7 A/B",1400-225,LISBOA,POINT (-9.206849999999974 38.70582999999999)
ELE04325,REE Konica - STORM COLOR,2021-05-22,38.85766,-9.1333,"RUA 1º DE MAIO, Nº46",1300-474,LISBOA,POINT (-9.13330000000002 38.85766000000001)
ELE04326,REE Konica - Entreposto CRP - Recursos,2021-05-22,38.77311,-9.10514,"Praça José Queirós Nº1, Piso 2",1800-237,LISBOA,POINT (-9.105140000000006 38.773109999999974)
ELE04335,REE CHULC - Maternidade Alfredo da Costa,2021-05-22,38.722407,-9.1416184,Rua Viriato,1069-089,LISBOA,POINT (-9.141618400000027 38.722406999999976)
ELE04336,REE CHULC - Hosp. Sto. António dos Capuchos,2021-05-22,38.722407,-9.1416184,Alameda Santo António dos Capuchos,1169-050,LISBOA,POINT (-9.141618400000027 38.722406999999976)
ELE04361,REE Edifício IGOT – Rua Branca Edmée Marques,2021-05-22,38.7491765,-9.1552417,Edifício IGOT – Rua Branca Edmée Marques,1600-276,LISBOA,POINT (-9.155241699999976 38.749176499999976)
ELE04363,REE Hospital das Forças Armadas - Lisboa,2021-05-22,38.767014,-9.1753812,Polo de Lisboa Azinhaga dos Ulmeiros,1649-020,LISBOA,POINT (-9.175381200000004 38.76701400000002)
ELE04364,REE Hotel Jerónimo 8,2021-05-22,38.69851,-9.20512,"R. dos Jerónimos, 8",1400-211,LISBOA,POINT (-9.205120000000022 38.69851)
ELE04374,REE Facing - Lisboa,2021-05-22,38.71645,-9.16283,"Rua Coelho da Rocha, 1º andar, 27",1250-087,LISBOA,POINT (-9.162829999999985 38.71645000000001)
ELE04388,REE Microsoft Portugal,2021-05-22,38.761109,-9.094213,"Rua Fogo de Santelmo, Lote 2.07.02",1990-110,LISBOA,POINT (-9.094213000000025 38.761108999999976)
ELE04393,REE CETRA - Olivais,2021-05-22,38.76223,-9.11601,"Rua Cidade de Boloma, 1 - B",1849-027,LISBOA,POINT (-9.116010000000017 38.76222999999999)
ELE04397,REE Jotecnialarmes,2021-05-22,38.79316,-9.11809,"Av. Sérgio Vieira de Mello, nº 17 D",1750-344,LISBOA,POINT (-9.118089999999995 38.79316)
ELE04398,REE Multicomunicação,2021-05-22,38.76232,-9.17989,"Rua Padre Américo, 19D, 1º C",1600-548,LISBOA,POINT (-9.17989 38.76231999999999)
ELE04402,REE UL Faculdade de Medicina Veterinária,2021-05-22,38.7140777,-9.1954628,Avenida da Universidade Técnica,1300-477,LISBOA,POINT (-9.195462799999973 38.71407770000002)
ELE04403,REE BNP Paribas - Torre Ocidente,2021-05-22,38.7537171,-9.188931,Rua Galileu Galilei,1500-392,LISBOA,POINT (-9.188931000000025 38.75371710000002)
ELE04404,REE BNP Paribas - Torre Oriente,2021-05-22,38.7537651,-9.1877032,Av. Do Colégio Militar,1500-180,LISBOA,POINT (-9.187703199999987 38.75376510000001)
ELE04405,REE BNP Paribas - AH 50,2021-05-22,38.721723,-9.1519045,Rua Alexandre Herculano,1250-011,LISBOA,POINT (-9.1519045 38.721723)
ELE04406,REE BNP Paribas - Pórtico,2021-05-22,38.7382597,-9.1629289,Avenida Columbano Bordalo Pinheiro,1070-061,LISBOA,POINT (-9.162928899999997 38.738259700000015)
ELE04429,REE EDP Plataforma Lumiar (Wondercom),2021-05-22,38.7716576,-9.1804815,Estrada do Paço do Lumiar,1649-038,LISBOA,POINT (-9.180481499999985 38.771657600000026)
ELE04432,REE Netaffiliation Lisboa,2021-05-22,38.72244,-9.14846,"Rua Rosa Araújo, nº2 – 6º esq",1250-195,LISBOA,POINT (-9.14846 38.722440000000006)
ELE04451,REE JF Campolide - Sede,2021-05-22,38.72589,-9.16227,Rua de Campolide nº 24 B,1070-036,LISBOA,POINT (-9.162269999999978 38.72588999999999)
ELE04463,REE BNP Paribas Securities Services - Gago Coutinho,2021-05-22,38.7447511,-9.1313181,Avenida Almirante Gago Coutinho,1000-017,LISBOA,POINT (-9.131318099999987 38.744751099999974)
ELE04466,REE Holiday Inn Lisbon - Continental,2021-05-22,38.74131,-9.14983,"Rua Laura Alves, 9",1069-169,LISBOA,POINT (-9.149830000000009 38.74131)
ELE04467,REE Dois Zero Um,2021-05-22,38.7698236,-9.0974481,"Edifício Expo 98-  Av. D. João II, Lote 1.07.2.1",1998-014,LISBOA,POINT (-9.097448100000008 38.769823599999995)
ELE04476,REE Ricoh - Reserva Especial,2021-05-22,38.71188,-9.21395,"Rua Gregório Lopes, Lt 1517, R/C –A",1400-195,LISBOA,POINT (-9.213950000000011 38.71188000000001)
ELE04480,REE EPSON - Sindicato Professores da Grande Lisboa,2021-05-22,38.7339,-9.15551,"Rua Fialho de Almeida, 3",1070-128,LISBOA,POINT (-9.155509999999992 38.733900000000006)
ELE04484,REE CML - DIP - Olivais 1 (Interno),2021-05-22,38.767355,-9.1083544,"Rua João Cunha Serra, Lote R",1800-023,LISBOA,POINT (-9.108354399999996 38.76735500000001)
ELE04500,REE Epson - Paulo Pinto,2021-05-22,38.7685,-9.1061,"PRAÇA VISCONDESSA DOS OLIVAIS, Nº6",1800-379,LISBOA,POINT (-9.106100000000026 38.76850000000002)
ELE04515,REE CML - Quinta Pedagógica dos Olivais,2021-05-22,38.7631975,-9.1129482,"R. Cidade de Lobito, piso 1 (s/ elevador)",1800-088,LISBOA,POINT (-9.112948200000005 38.76319749999999)
ELE04516,REE CML - Study in Lisbon Lounge - Posto de Atendimento do SEF,2021-05-22,38.7461681,-9.1531365,"Praça Carlos Fabião, Lote 3 loja 3C",1600-316,LISBOA,POINT (-9.153136500000016 38.74616809999998)
ELE04517,REE CML - Rua do Arsenal (Interno),2021-05-22,38.70771,-9.13975,"Rua do Arsenal, 54 – Piso 3",1100-038,LISBOA,POINT (-9.139749999999992 38.70771000000002)
ELE04518,"REE CML - Departamento de Segurança, Higiene e Saúde no Trabalho (Interno)",2021-05-22,38.73469,-9.15475,"Av. Ressano Garcia, 2",1070-237,LISBOA,POINT (-9.154749999999979 38.73469)
ELE04519,REE CML - Brigada de Colectores (Interno),2021-05-22,38.72798,-9.11638,"Estrada de Chelas, 101",1900-154,LISBOA,POINT (-9.116379999999992 38.72798)
ELE04520,REE CML - Departamento de Desenvolvimento e Formação (Interno),2021-05-22,38.74954,-9.14675,"Rua António Patrício, 26 - 3º Andar",1700-047,LISBOA,POINT (-9.146749999999997 38.749540000000025)
ELE04535,REE Junta de Freguesia de Santa Clara,2021-05-22,38.78259,-9.15948,"Largo do Ministro, 1",1750-017,LISBOA,POINT (-9.159479999999974 38.78259000000003)
ELE04540,REE ASF - Lisboa,2021-05-22,38.746072,-9.147373,"Av. da República, 76",1600-205,LISBOA,POINT (-9.147373000000016 38.74607200000003)
ELE04544,REE Ministério das Finanças - Secretaria Geral,2021-05-22,38.708682,-9.133883,"R. da Alfândega, 1",1100-016,LISBOA,POINT (-9.133883000000026 38.70868200000001)
ELE04546,REE Konica - Entreposto Máquinas (Lisboa),2021-05-22,38.77135,-9.10752,"Av. Dr. Francisco Luís Gomes 1, piso 3, fração 7",1800-177,LISBOA,POINT (-9.107520000000022 38.771349999999984)
ELE04547,REE Konica - PORTWAY (Lisboa),2021-05-22,38.7710974,-9.1250008,Direção de Unidade de Handling de Lisboa-RC-4º,1700-008,LISBOA,POINT (-9.12500080000001 38.771097399999974)
ELE04551,REE Daikin - Engitagus Av. Miguel Bombarda (TMC),2021-05-22,38.73754,-9.14451,Av. Miguel Bombarda nº 4,1000-208,LISBOA,POINT (-9.144510000000025 38.737540000000024)
ELE04556,REE EElec - EB Marvila,2021-05-22,38.740179,-9.11052,Rua António Gedeão,1950-346,LISBOA,POINT (-9.110520000000008 38.74017900000001)
